recipeName,ingredients,nutritionInfo,mealType,timestamp
Turtles® Brownies,"[""2 cups chopped pecans"", ""2 cups white sugar"", ""1 cup unsalted butter"", ""4 eggs"", ""1 cup unsweetened cocoa powder"", ""1 cup all-purpose flour"", ""2 teaspoons vanilla extract"", ""24 individually wrapped caramels, unwrapped"", ""42 pecan halves""]","Whoop Whoop! 🥳 Let's dive into these delectable Turtles® Brownies! 🐢🍫 Here's the yummy rundown:

- Calories: A whopping 435 kcal per slice 🧁🔥
- Fats: 27g, because we all need a little extra cushion 🥑
- Carbs: 43g, energy for days! 🍞
- Protein: 7g, muscles, where you at? 🍗
- Servings: These ingredients will make about 24 slices 🍽️

And now, for the cherry on top 🍒: *Enjoy your brownies, but remember, moderation is key!* Don’t let the turtles race past your fitness goals! 🐢💪💡",Dinner,2025-04-08 15:51:55
Deconstructed Screwdriver (The Raw Egg),"[""1/4 cup orange juice, or as desired"", ""2 (1.5 fluid ounce) jiggers vodka, or to taste""]","Whoa there, mixology chef! Your Deconstructed Screwdriver dish creates one daring serving🍽️, that's piquing our interest! 

🔥 The heat is on with around 174 calories in this dish.

🥑 On the fat front, you're looking at a skinny 0.1g! Is this magic?

🍞 Carb-wise, you're toasting to roughly 14.2g.

🍗 You're getting a temperate 0.9g of protein - the perfect peck on the cheek.

💡 Health Tip: ""Moderation is key with this dish - and remember, keep hydrated with water too! Cheers to that!"" 🥂",Breakfast,2025-04-08 15:53:30
Navajo Tacos,"[""Chili Beans:"", ""1 pound dried pinto beans"", ""6 cups water, or as needed"", ""16 ounces frozen chili (such as Johnson(R)), thawed"", ""1 1/2 teaspoons ground cumin"", ""1 1/2 teaspoons dried oregano"", ""1 1/2 teaspoons garlic powder"", ""1 1/2 teaspoons onion powder"", ""salt and ground black pepper to taste"", ""Fry Bread:"", ""2 cups all-purpose flour (such as Blue Bird(R))"", ""2 tablespoons baking powder"", ""1 tablespoon salt"", ""1/2 cup hot water, or as needed"", ""3/4 cup lard"", ""Toppings:"", ""1 (16 ounce) package shredded Cheddar cheese"", ""2 tomatoes, chopped"", ""2 onions, chopped"", ""2 cups shredded iceberg lettuce""]","Twist and shout, it's Navajo Tacos time! 🎉

This flavorful recipe yields about 10 servings. Here's the nutritional low-down for each serving:

- Calories: 483 🔥 (Way to light that fire!)
- Fat: 16g 🥑 (That's some delicious fats!)
- Carbs: 56g 🍞 (Your energy fill-up!)
- Protein: 26g 🍗 (Power to your muscles!)

💡 Health Tip: Swap out the lard in fry bread for a healthier oil to keep your heart pumping smooth and easy! 🎶😉",Dinner,2025-04-13 21:38:09
One-Pot White Chicken Chili,"[""1 tablespoon olive oil, or to taste"", ""2 large skinless, boneless chicken breasts, cut into bite-size pieces"", ""2 cloves garlic, chopped"", ""1 tablespoon dried chives"", ""1 tablespoon dried oregano"", ""1 tablespoon dried thyme"", ""1 tablespoon dried basil"", ""salt and ground black pepper to taste"", ""1 bay leaf"", ""5 (14.5 ounce) cans great Northern beans, divided"", ""14 1/2 fluid ounces water"", ""1 (14.5 ounce) can chopped tomatoes"", ""1 (12 ounce) jar salsa"", ""1 cup sour cream""]","🔥 Calories: 360
🥑 Fat: 7g
🍞 Carbs: 45g
🍗 Protein: 28g
🍽️ Servings: 8

💡 Keep chips on the side and dive into this warming pot of goodness. Packed with protein & fiber, it's a tasty way to stay full & satisfied! 🤤🥣👍",Dinner,2025-04-13 21:38:44
Grandmom Marino'S Easter Meat Pie,"[""1/4 pound thinly sliced ham"", ""1/4 pound thinly sliced salami"", ""1 (15 ounce) container ricotta cheese"", ""1 (15 ounce) package refrigerated pie crusts"", ""1 egg"", ""1/4 cup chopped fresh parsley"", ""salt and pepper to taste""]","Alrighty, here's the tasty scoop on 'Grandmom Marino'S Easter Meat Pie'! 🥧

Calories: 430 🔥 
Fat: 20 g 🥑 
Carbs: 40 g 🍞
Protein: 20 g 🍗 
Servings: 8 🍽️

Health Whizz Advice💡: Swap out the salami for turkey to lean down that fat content a notch!
Keep on crunchin' those numbers and your veggies! 🥕🥦🍅",Dinner,2025-04-13 21:39:13
Basic Chinese Stir Fry Vegetables,"[""2 cups uncooked brown rice"", ""4 cups water"", ""1 tablespoon safflower oil"", ""1/3 cup leeks, chopped"", ""2 cloves garlic"", ""1 teaspoon minced fresh ginger root"", ""1 cup zucchini, chopped"", ""1 cup carrots, chopped"", ""1 cup yellow squash, chopped"", ""sea salt to taste""]","Alright, ready to wok and roll with this delicious Basic Chinese Stir Fry Vegetables? Let's dish it out!🍲

Per serving, you'll be cooking up:
- Calories: 230 🔥
- Fat: 3g 🥑
- Carbs: 48g 🍞
- Protein: 5g 🍗
- Servings: 6 🍽️

And here's a hot take for your health tip: ""Go for whole grain brown rice - it's full of fiber that keeps you full and fabulous!""💡

Stir-fry your way to fun, healthy meals! 🎉",Dinner,2025-04-13 21:39:38
Rush Hour Refried Beans,"[""2 tablespoons bacon grease"", ""2 tablespoons chopped onion"", ""1 teaspoon minced garlic"", ""1 (15 ounce) can pinto beans, undrained"", ""1/4 teaspoon ground cumin""]","👩‍🍳 Making a tasty batch of Rush Hour Refried Beans?

Per serving, you're looking at:
🔥~200 calories
🥑~7 grams of fat
🍞~25 grams of carbs
🍗~7 grams of protein
🍽️ and this recipe should give you about 4 servings!

💡 Quick health tip: Swapping bacon grease for olive oil can make it heart-healthier without skimping on flavor! 🩺💖",Dinner,2025-04-13 21:40:03
Fruity Guacamole,"[""1 avocado - peeled, pitted, and diced"", ""1 1/2 teaspoons minced red onion"", ""1 teaspoon minced seeded serrano chile"", ""12 red grapes, halved"", ""1/2 cup fresh diced peaches"", ""salt to taste"", ""2 tablespoons pomegranate seeds (optional)""]","Whoa, Fruity Guacamole incoming! 😍 Here's the fun nutritional scoop for ya:

Each serving (and this recipe makes about 4 🍽️) has around 150 calories 🔥, 10g of good fats 🥑('cause we all love avocado), 15g of super fruity carbs 🍞, and a decent 2g of protein 🍗. 

💡Tip of the day: A 'guac' a day keeps the doctor away thanks to these heart-healthy fats! Plus, it's a party in your mouth! 🎉🥑🍇🍑",Lunch,2025-04-13 21:40:52
Southwestern Quinoa Salad,"[""1 cup quinoa"", ""1 tablespoon butter"", ""2 cups chicken broth"", ""1/2 cup diced green bell pepper"", ""1/2 cup diced red onion"", ""1 cup corn"", ""1 (15 ounce) can black beans, drained"", ""1/4 cup chopped cilantro"", ""1 large tomato, diced"", ""1/2 cup fresh lime juice, or to taste"", ""2 tablespoons red wine vinegar"", ""2 tablespoons olive oil"", ""1 tablespoon adobo seasoning"", ""1/2 cup feta cheese"", ""salt and black pepper to taste""]","Whoa, a Southwestern Quinoa Salad, you say? Yee-haw! 🤠 Here are the nutritional deets:

- Calories: 350 🔥
- Fat: 12g 🥑
- Carbs: 47g 🍞
- Protein: 15g  🍗
- Servings: 4 🍽️

💡Health Tip: Substitute the butter with olive oil to hearten your heart! Be a lean, mean, quinoa-eating machine! 💪🥗",Lunch,2025-04-13 21:41:25
Sweet And Sour Ground Pork Stir-Fry,"[""1 pound ground pork"", ""1 onion, sliced"", ""2 carrots, peeled and sliced"", ""1/2 cup rice vinegar"", ""1/3 cup ketchup"", ""1/4 cup white sugar"", ""2 teaspoons soy sauce"", ""2 cups chopped broccoli"", ""1 green bell pepper, chopped""]","Woo-hoo! Get ready to stir-fry the night away with 'Sweet And Sour Ground Pork Stir-Fry'! 🍲

Per serving, you're looking at:

🔥Calories: 365 
🥑Fat: 17g 
🍞Carbs: 27g
🍗Protein: 28g

This recipe will make approximately 4 delicious servings! 🍽️

💡Health tip of the day: More veggies, less sugar for a healthier twist to your favorite stir-fry! 🎉🥕🥦",Dinner,2025-04-13 21:42:47
